1024	4
1029	4
6	2
1030	2
1031	1
8	5,3,3
1033	3
10	5
1034	3
13	4,5,4,5,5,2,1,2,3,2,2,3,2,2,2,4,2,2,2,1
1038	3
15	5
2063	3
17	2,2
1044	3
1048	2
2073	5
26	2
27	2
2075	3,5
2076	2
30	5,1
31	4,2
1060	1,2,3
1061	2
1063	4
40	2,4,5,4,3,5,1,2,2
41	2,4
1065	4,4
2090	2
2093	2
1071	3
50	2
2103	4
1085	1
2117	3
2128	3
84	3,4,5,4,3,3,4,4,4,5,3,3,5,2,1,2,3,4,1,3,1,1,2,1,2,1,2,2,2,2,3,2,2,2
2132	3,3,2,2
2133	4,4,3
86	4,1,2,3,2,1,1,1
89	5,2
2142	3
1119	3
2143	2
96	5
97	2
2145	4,3,2
2146	3
1123	2
101	3
1129	1
107	3,4,4,3,3,5,1,1
1132	5,4,2
109	5
2157	4,2
2158	2
111	2
1135	5,4
2159	4
2160	5,4,4
1137	3
1139	2
1140	3
1142	3
2166	3
119	1
1146	4
2170	2
1148	4,4,2
2173	4,3,2,2
1158	2
1161	2
146	1
1171	3
1185	4,2,2
162	4
2210	4
1189	4,3
2213	4
1190	3,1,1
1191	4,4,3
168	2
1198	2
177	4
2227	2
2229	4
1211	3
1212	2
200	3,1
201	4,2
1226	3
204	5
2259	3,1
1244	5,3,5,4,4,4,4,2,2
222	4,2
1246	2,2
223	4
1247	4
224	5,5
1249	4
1250	5,3,2,2,2,2,1,2
2275	5
2278	2
2279	3,3,4,2,2,1,3
2280	3,4,4,5,3,4,3,1,3
233	4
2281	2,1
2282	5,4,5,4,4,5,5,3,4,4,5,5,4,4,5,1,1,2,4
235	4
1259	1
2286	2,2
1266	2
2292	4
1269	5
1270	4,3,4,4,4,4,5,5,4,4,5,4,3,3,4,4,4,3,2,3,5,4,4,4,4,4,5,3,3,5,4,4,4,2,4,4,4,4,4,4,4,4,4,5,3,4,4,5,3,4,4,4,4,4,3,3,5,3,3,4,4,5,3,5,3,2,1,2,3,5,3,2,3,1,2,2,4,1,2,2,3,3,4
1271	4,4
1272	3,5,3
1273	3
2297	1
1274	3,5,3,5,2
2298	3
251	1
1275	3,3,5,2
2301	5,5,2
2302	5,5,2
1282	4
2310	3
267	3
1297	4,4,3,4,4,2,5,5,2,2,1
1299	5,4,4,4,5,5,4,5,4,5,4,3,3,4,4,4,4,4,5,3,4,2,4,3,4,4,4,4,4,4,1,2,4,2,2,2,2,3
1300	4,4,4,5,4,4,2,2,1,1,2,2,2,1,5
279	1,3
280	1,3
2329	4,4,5,5,4,2,2,1
1306	4,5,4,3,2,2,2
1308	4
290	3,5,2,2,2
2339	2
301	4,3,1
2349	3
302	4
304	3
1328	3
306	4
307	5
2357	2
2359	2,4,2
1336	5,2
313	1
2363	4,2
322	2
1351	3
1358	4
2386	3
346	4,3,1,3
353	4,4,3
1377	5,4
2414	2
2419	3
2421	4,2
2423	5,1,3,2
378	1
2429	2
2435	2
1413	4,3,2,2
2437	4
2438	4,2
391	4
2439	2
393	2
2441	5,5,4
2442	5,5,4,1,1,2
396	5
2444	4,4,4,5,4,5,5,4,5,4,3,2,2
403	1
2456	5
2457	3
1436	2
2463	3
1441	2,2,1
1442	2,1
2469	1
1449	4
2474	4,3
428	2,2
2477	5,2
430	5,5,4,5,4,5,2,1
2478	2
1455	2,1
2480	4,2
433	5,4,4,3,3,2
1457	1
434	2
2482	2
437	4,2
438	2,2,1
442	4,4,3,4,3,4,2,2,2,1,2
443	4,1,2,2,4
444	2
445	3,5,3,1,3,1,3
446	5,1,3,3
2494	2
447	3,5,2,2
448	5,3,1,2
452	5,3,5,2,4,4,5,4,4,4,4,1,1,3,3,2,2,2,2,1,2,2
1477	4
455	4,4,1,2,2,2,2,2,2,2
1482	4
1488	4,4,4,2,2
2512	3
471	3,4
1495	2
2519	1
1497	2
1502	5,4,4,3
480	4
1505	1
483	3
489	2
490	2,2,1
1514	2
1516	1
1517	1
1519	4
501	3
1525	1
2549	4,1
502	3
1529	3,1,1
1530	4,3
2554	5,3,2
1531	3,1,1
1532	4,4,3
509	3
1535	5,4,2
2561	4,4,1,3,2,1
2563	3
2572	3
2574	4,1
2575	4
528	3
535	3
536	4
537	4,4
541	4,3,3,3,3
542	3
1568	4,4,2,3
1569	1
547	4
1578	5,2
555	3,1
556	1
568	2,3
569	3,5,5,4
574	5,4,4,2,2,2,1,1,2
1601	2
580	2
1609	2
1611	3
588	1,1,1
1614	4
591	2
1615	4
602	3
1627	4
604	4,5,4
608	3
609	2
1634	2
1637	5
616	1
1640	4,4,4,1,2,2
1641	3,5,2
1642	4,4,5,4,1,1,1
1645	1
1647	1
625	1
630	3
637	2
640	3
1664	4
641	2
647	2
1671	1
660	3,5,5,4,1,2,1,1
661	5
663	4,5,3
669	3
1693	4,5
673	2
1697	4
674	3,4,2,4,4,2,5,3,3,4,1,3,2
677	2
1701	1,4,5,2,3,2,2,1
691	2,2
1715	4
1716	5,4,5,5,5,3,1,2,1
1717	4,2
1718	5,5,5,2,2,1
1720	4,5,2
697	3
1721	4
698	3
1722	5
1726	2,2
704	4
1736	1
1739	2
1742	3
1746	4,4,4,2,2
1753	4
730	3
1758	5,4
739	2
741	2,2,2,2,2,2,2,1
751	3
754	4
1779	5
756	5,3
1781	5,3
1783	4
1784	1,1
1785	1
1788	4,3,1,2,2
1789	3
1790	4,2
1791	4,2
768	3
769	3,4,4
1793	5
770	3
1795	5
800	5
801	5,4,1
805	4,4,3,1,2,2
825	1,2
1854	2
1858	5
1861	1
1879	3,2
1886	5,4,4,4,4,5,4,3,4,2,3
863	1,5,2,2
1888	5
1889	2,4
1890	2,2,1
1891	5,3,1
868	4
870	2,4
1894	5,2,2
1895	2
872	2,1
874	2,3
876	4,4,5,4,3,1,2,1,3,2,1,1
877	4,3,1
878	5,4,5,2,1
879	2
880	5,5,1,1
1904	4
882	4,3,2,4
1906	4,3
886	5,3,3,3,2,2,1
887	4,5,3,2,3,2,1,2,1,5,2
888	3
889	5
900	5
1930	4,3,1
1931	3
1936	3,1,4
1938	2
915	3
917	5,1
1944	5,3
1945	3
922	3
923	5
924	2
1948	4,2
925	4
926	3,1,2,1
927	5,3
1952	2
930	3,4,4,2,4,1,2
931	3,3
1955	2
934	4,4,2,1,3
935	2,1
937	4
938	4,2,3,3
940	4,1,4,3
941	3,2
1965	5,5
944	4,3
1968	4,4
945	4,4,3,4,4,4,4,1,2,2,2,1
1970	4
1972	5,2
950	5,5,4,3,4,2
1976	4,1,2,2,3,3,1,1,1,3,1,2,2,1,2
1978	4
963	4
966	5,3,2
969	3
970	5,3
975	2,3,2
977	3
2007	2,1
2008	2,1
2011	2
993	3,2
2019	4
2023	2,2
1003	1
1004	1
1005	4,4
1007	3
1012	1
1017	3
2043	1
1021	5,3,4,2,2
1023	5,4,2,3
